Game,Publisher,Operating Office,Office Location (PH if available),Est. Revenue per month USD,Est. % of PH Users per month,Est. PH Revenue per month USD,Data Source,Platform,Top-Up Stores,Revenue Sources
Gardenscapes,Playrix,"4th Floor, Red Oak North, South County Business Park, Leopardstown, Dublin 18, D18 X5K7",Ireland,"$25,000,000.00",1.00%,"$250,000.00",AppFigures,iOS,Internal/In-Game,"In-App Purchases, Ads"
Roblox,Roblox Corporation,"970 Park Place, San Mateo, CA 94403",United States,"$3,800,000.00",6.00%,"$228,000.00",AppFigures,Android,"Internal/In-Game, Razer Gold, Codashop, JollyMax, SEAGM, Joytify (LapakGaming), Creamstore.ph, VeeWise Sari-Sari Store","Subscriptions, In-App Purchases"
Ragnarok Origin Classic,Gravity Game Vision Limited,"Office F, 25/F, COS Centre, 56 Tsun Yip Street, Kwun Tong, Kowloon",Hong Kong,"$1,000,000.00",22.00%,"$220,000.00",AppFigures,iOS,"Internal/In-Game, Joytify (LapakGaming), VeeWise Sari-Sari Store","Subscriptions, In-App Purchases"
Last Z: Survival Shooters,Omnilojo Pte Ltd,"1 Temasek Avenue, #12-01 Millenia Tower, Singapore 039192",Singapore,"$17,000,000.00",1.00%,"$170,000.00",AppFigures,Android,"Internal/In-Game, SEAGM","In-App Purchases, Ads"
Tasty Travels: Merge Game,Century Games Pte. Ltd.,"460 Alexandra Road, #14-05 MTower, Singapore 119963",Singapore,"$16,000,000.00",1.00%,"$160,000.00",AppFigures,iOS,Internal/In-Game,"In-App Purchases, Ads"
Genshin Impact,COGNOSPHERE PTE. LTD.,"1 One-North Crescent, #06-01/02, Razer SEA HQ, Singapore 138538",Singapore,"$7,000,000.00",2.00%,"$140,000.00",AppFigures,iOS,"Internal/In-Game, UniPin, Razer Gold, Codashop, SEAGM, Creamstore.ph, Joytify (LapakGaming)","Subscriptions, In-App Purchases"
Honkai: Star Rail,COGNOSPHERE PTE. LTD.,"1 One-North Crescent, #06-01/02, Razer SEA HQ, Singapore 138538",Singapore,"$7,000,000.00",2.00%,"$140,000.00",AppFigures,Android,"Internal/In-Game, UniPin, Razer Gold, Codashop, JollyMax, SEAGM, Joytify (LapakGaming), Creamstore.ph","Subscriptions, In-App Purchases"
Total Battle: Strategy Game,Scorewarrior,"Divine Clock Tower, Floor 1, Spyrou Kyprianou 16, 3070 Limassol",Cyprus,"$8,000,000.00",1.00%,"$80,000.00",AppFigures,iOS,Internal/In-Game,"In-App Purchases, Ads"
Magic Chess: Go Go,VIZTA PTE. LTD.,"9 Battery Road, #28-01 MYP Centre, Singapore 049910",Singapore,"$160,000.00",21.00%,"$33,600.00",AppFigures,iOS,"Internal/In-Game, UniPin, Razer Gold, Codashop, SEAGM, Joytify (LapakGaming), Creamstore.ph, VeeWise Sari-Sari Store, Smile.One","Subscriptions, In-App Purchases"
NIGHT CROWS,"Wemade Co., Ltd","Wemade Tower, 49 Daewangpangyo-ro 644beon-gil, Bundang-gu, Seongnam-si, Gyeonggi-do",South Korea,"$250,000.00",0.50%,"$1,250.00",AppFigures,Android,"Internal/In-Game, SEAGM, Joytify (LapakGaming)",In-App Purchases
LEGEND OF YMIR,"Wemade Co., Ltd","Wemade Tower, 49 Daewangpangyo-ro 644beon-gil, Bundang-gu, Seongnam-si, Gyeonggi-do",South Korea,"$210,000.00",0.50%,"$1,050.00",AppFigures,Android,"Internal/In-Game, Razer Gold, SEAGM, Joytify (LapakGaming), Creamstore.ph",In-App Purchases
LORDNINE: Infinite Class,"Smilegate, Inc.","344 Pangyo-ro, Bundang-gu, Seongnam-si, Gyeonggi-do",South Korea,"$110,000.00",0.50%,$550.00,AppFigures,Android,"Internal/In-Game, SEAGM, Joytify (LapakGaming)",In-App Purchases
